Node,2-12,7,,,,,,,,,,,,,,,,,,,,,,,
Canal,Canal Key,Type_Child Node,Parent Key,Child Key,Parent Name,Child Name,Section,ID,Class,under confirm,Direction,Length,Offset,Photo,Hilight_ChildNode,Area,Cum_Area,fishpond,A,Bigger_ID P3A,Latest Growing Stage,UPI,Golongan_Canal,Golongan_TB,Bank
Barat MC.,L_M2,Str,L_Bt_35,L_Bt_36,B.Bt.18.1,B.Bt.18,sec36,L_M2_sec36,Other,,left,120,0,1s4ZL0y7uSmyc3eqw0W5nS23i60nYf2-W,,,"9,787",,12.34,,,,Left_Golongan_3_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_36,L_Bt_37,B.Bt.18,B.Bt.19.1,sec37,L_M2_sec37,DS,,left,120,0,1lhRULWSBCOOBdSp5FeERRAr-Eel0vHrx,,,"6,999",,12.34,,,,Left_Golongan_3_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_37,L_Bt_38,B.Bt.19.1,B.Bt.19.2,sec38,L_M2_sec38,Other,,left,120,0,Not Available,,,"5,552",,12.34,,,,Left_Golongan_3_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_38,L_Bt_39,B.Bt.19.2,B.Bt.19,sec39,L_M2_sec39,Other,,left,240,0,,#,,"5,542",,12.34,,,,Left_Golongan_3_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_39,L_Bt_40,B.Bt.19,B.Bt.20.1,sec40,L_M2_sec40,DS,,left,250,0,,,,"4,566",,12.34,,,,Left_Golongan_3_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_40,L_Bt_41,B.Bt.20.1,B.Bt.20,sec41,L_M2_sec41,Other,,left,240,0,,,,"4,491",,12.34,,,,Left_Golongan_3_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_41,L_Bt_42,B.Bt.20,B.Bt.21.1,sec42,L_M2_sec42,Other,,left,350,0,,,,"4,456",,12.34,,,,Left_Golongan_3_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_42,L_Bt_43,B.Bt.21.1,B.Bt.21,sec43,L_M2_sec43,Other,,up,300,0,,#,,"4,446",,12.34,,,,Left_Golongan_3_1,FALSE,
Kerticala SC.,L_M2_S01,Str,L_Bt_03,L_Kr_01,B.Bt.1,B.Kr.1,sec01,L_M2_S01_sec01,Division,,up,180,0,10PdO37qmmdRxlkBFcK44d3jhfcqqw_oX,,,"1,142",,12.34,,,,Left_Golongan_1,FALSE,
Kerticala SC.,L_M2_S01,Str,L_Kr_01,L_Kr_02,B.Kr.1,B.Kr.2,sec02,L_M2_S01_sec02,Other,,up,100,0,1rH8CdDigK2WyvKqu4KJ0tF1j0dzwLKnx,,,"1,085",,12.34,,,,Left_Golongan_1,FALSE,
Kerticala SC.,L_M2_S01,Str,L_Kr_02,L_Kr_03,B.Kr.2,B.Kr.3.1,sec03,L_M2_S01_sec03,Other,,up,100,0,1gQOj-nNZlcyKPbMD0N7I-d-wundC9zmo,,,929,,12.34,,,,Left_Golongan_1,FALSE,
Kerticala SC.,L_M2_S01,Str,L_Kr_03,L_Kr_04,B.Kr.3.1,B.Kr.3,sec04,L_M2_S01_sec04,Other,,up,120,0,1yiZNfBrE3mz5Sy5T9hQpyzSpsFWLmGMX,,,904,,12.34,,,,Left_Golongan_1,FALSE,
Kerticala SC.,L_M2_S01,Str,L_Kr_04,L_Kr_05,B.Kr.3,B.Kr.4,sec05,L_M2_S01_sec05,Other,,up,120,0,1hXHnLaiZDzosjUDHvPnu3XIzetodp-ZO,,,831,,12.34,,,,Left_Golongan_1,FALSE,
Kerticala SC.,L_M2_S01,Str,L_Kr_05,L_Kr_06,B.Kr.4,B.Kr.5,sec06,L_M2_S01_sec06,Other,,up,100,0,1USnwA67d-5wE0EkB60XdehmB11rvPC62,,,700,,12.34,,,,Left_Golongan_1,FALSE,
Kerticala SC.,L_M2_S01,Str,L_Kr_06,L_Kr_07,B.Kr.5,B.Kr.6.1,sec07,L_M2_S01_sec07,Other,,up,100,0,1qStHeRmJuq4tGiMyK8yHxhSiUNVVMKEs,,,547,,12.34,,,,Left_Golongan_1,FALSE,
Kerticala SC.,L_M2_S01,Str,L_Kr_07,L_Kr_08,B.Kr.6.1,B.Kr.6,sec08,L_M2_S01_sec08,Other,,up,100,0,1CcNkUcP2zvHXgob8ehzE_Fd-qcWOljRb,,,529,,12.34,,,,Left_Golongan_1,FALSE,
Kerticala SC.,L_M2_S01,Str,L_Kr_08,L_Kr_09,B.Kr.6,B.Kr.7.1,sec09,L_M2_S01_sec09,Other,,up,100,0,1oYf1vyib4SlEbEXIv3GGWO05nD8whHWJ,,,470,,12.34,,,,Left_Golongan_1,FALSE,
Kerticala SC.,L_M2_S01,Str,L_Kr_09,L_Kr_10,B.Kr.7.1,B.Kr.7,sec10,L_M2_S01_sec10,Other,,up,100,0,17IUS01_k9z0gU9jUGieKnoQ69VIB8oBk,,,458,,12.34,,,,Left_Golongan_1,FALSE,
Kerticala SC.,L_M2_S01,Str,L_Kr_10,L_Kr_11,B.Kr.7,B.Kr.8.1,sec11,L_M2_S01_sec11,Other,,up,100,0,1QtbipglA1jQ7xduqCY-XSP_fJ3WparMq,,,375,,12.34,,,,Left_Golongan_1,FALSE,
Kerticala SC.,L_M2_S01,Str,L_Kr_11,L_Kr_12,B.Kr.8.1,B.Kr.8.2,sec12,L_M2_S01_sec12,Other,,up,100,0,1HZJVGReeNt3qQnWHbO67_fVTdcL6p9K1,,,315,,12.34,,,,Left_Golongan_1,FALSE,
Kerticala SC.,L_M2_S01,Str,L_Kr_12,L_Kr_13,B.Kr.8.2,B.Kr.8,sec13,L_M2_S01_sec13,Other,,up,100,0,1g2E_bZ9Od0zcqIC8lGuTrx1D076eM7zu,,,278,,12.34,,,,Left_Golongan_1,FALSE,
Rancananggung SC.,L_M2_S02,Str,L_Bt_06,L_Rc_01,B.Bt.4,B.Rc.1,sec01,L_M2_S02_sec01,Division,,up,180,0,1095dkCBgbD2zpkHK50JOmlwq8Uht5ofI,,,"2,374",,12.34,,,,Left_Golongan_1,FALSE,
Rancananggung SC.,L_M2_S02,Str,L_Rc_01,L_Rc_02,B.Rc.1,B.Rc.2,sec02,L_M2_S02_sec02,Other,,up,100,0,1E2hazUH9mSAmolk9EIva3mcwTEPptpAu,,,"2,276",,12.34,,,,Left_Golongan_1,FALSE,
Rancananggung SC.,L_M2_S02,Str,L_Rc_02,L_Rc_03,B.Rc.2,B.Rc.3.1,sec03,L_M2_S02_sec03,Other,,up,100,0,1rx5WRc8XgCIwK3-MbpLL4fhNVOLg-k6F,,,"2,068",,12.34,,,,Left_Golongan_1,FALSE,
Rancananggung SC.,L_M2_S02,Str,L_Rc_03,L_Rc_04,B.Rc.3.1,B.Rc.3.2,sec04,L_M2_S02_sec04,Other,,up,100,0,1mpxBj3ofOr10YwxqzUhEhWnTi2LuOzQa,,,"2,048",,12.34,,,,Left_Golongan_1,FALSE,
Rancananggung SC.,L_M2_S02,Str,L_Rc_04,L_Rc_05,B.Rc.3.2,B.Rc.3,sec05,L_M2_S02_sec05,Other,,up,100,0,1_mzquvFCYuE9LpR1_IqQY2hoRSkVepDP,,,"2,032",,12.34,,,,Left_Golongan_1,FALSE,
Rancananggung SC.,L_M2_S02,Str,L_Rc_05,L_Rc_06,B.Rc.3,B.Rc.4,sec06,L_M2_S02_sec06,Other,,up,100,0,11cXHFXJwTDlLNWzREIHR_a16mI-yEV-3,,,"1,667",,12.34,,,,Left_Golongan_1,FALSE,
Rancananggung SC.,L_M2_S02,Str,L_Rc_06,L_Rc_07,B.Rc.4,B.Rc.5.1,sec07,L_M2_S02_sec07,Other,,up,100,0,1JLwzO_DGw0vQ88dGIzhi5YzqP0LTP3Rx,,,"1,337",,12.34,,,,Left_Golongan_1,FALSE,
Rancananggung SC.,L_M2_S02,Str,L_Rc_07,L_Rc_08,B.Rc.5.1,B.Rc.5.2,sec08,L_M2_S02_sec08,Other,,up,100,0,1qb8y40oRuunRLYraOPL-tHAeiH3lRzLF,,,"1,324",,12.34,,,,Left_Golongan_1,FALSE,
Rancananggung SC.,L_M2_S02,Str,L_Rc_08,L_Rc_09,B.Rc.5.2,B.Rc.5,sec09,L_M2_S02_sec09,Other,,up,100,0,15llvvf57p7_sDZTf7tAKfk0WfEDZVtpI,,,"1,130",,12.34,,,,Left_Golongan_1,FALSE,
Rancananggung SC.,L_M2_S02,Str,L_Rc_09,L_Rc_10,B.Rc.5,B.Rc.6.1,sec10,L_M2_S02_sec10,Other,,up,100,0,1sQkWftORevJvPBBY7n2h_zzg4M6Vf0BK,,,852,,12.34,,,,Left_Golongan_1,FALSE,
Rancananggung SC.,L_M2_S02,Str,L_Rc_10,L_Rc_11,B.Rc.6.1,B.Rc.6.2,sec11,L_M2_S02_sec11,Other,,up,100,0,1uUkZo-E6yTESfHqEROS7r5HvpdxamZL3,,,852,,12.34,,,,Left_Golongan_1,FALSE,
Rancananggung SC.,L_M2_S02,Str,L_Rc_11,L_Rc_12,B.Rc.6.2,B.Rc.6.3,sec12,L_M2_S02_sec12,Other,,up,100,0,12Xmr42t9ESin0MyJ1GKJKRAfoo-QAomC,,,794,,12.34,,,,Left_Golongan_1,FALSE,
Rancananggung SC.,L_M2_S02,Str,L_Rc_12,L_Rc_13,B.Rc.6.3,B.Rc.6,sec13,L_M2_S02_sec13,Other,,up,100,0,1vEFP2qpQXwFpGarmZF_w5GJT6Tb8ep8O,,,777,,12.34,,,,Left_Golongan_1,FALSE,
Rancananggung SC.,L_M2_S02,Str,L_Rc_13,L_Rc_14,B.Rc.6,B.Rc.7,sec14,L_M2_S02_sec14,Other,,up,100,0,1-wTHVIaK_ogkhaAEfCD_X-nJEHD3Sn4-,,,392,,12.34,,,,Left_Golongan_1,FALSE,
Wanakerta SC.,L_M2_S03,Str,L_Bt_11,L_Wn_01,B.Bt.7,B.Wn.1.1,sec01,L_M2_S03_sec01,Division,,up,180,0,1q_u40pobK5lKXclg9OIMmDBUgvvflEly,,,788,,12.34,,,,Left_Golongan_1,FALSE,
Wanakerta SC.,L_M2_S03,Str,L_Wn_01,L_Wn_02,B.Wn.1.1,B.Wn.1,sec02,L_M2_S03_sec02,Other,,up,100,0,1IJtaFtlhJChVWGFHJfzTb64yyqTt1cDY,,,714,,12.34,,,,Left_Golongan_1,FALSE,
Wanakerta SC.,L_M2_S03,Str,L_Wn_02,L_Wn_03,B.Wn.1,B.Wn.2.1,sec03,L_M2_S03_sec03,Other,,up,100,0,1eJh7Z-H8k9OO33SaYmSJzkY9ipSpNpgq,,,263,,12.34,,,,Left_Golongan_1,FALSE,
Wanakerta SC.,L_M2_S03,Str,L_Wn_03,L_Wn_04,B.Wn.2.1,B.Wn.2.2,sec04,L_M2_S03_sec04,Other,,up,100,0,1nVN790Vngi_nY5UbVXMMr3vLeownfRnL,,,234,,12.34,,,,Left_Golongan_1,FALSE,
Wanakerta SC.,L_M2_S03,Str,L_Wn_04,L_Wn_05,B.Wn.2.2,B.Wn.2,sec05,L_M2_S03_sec05,Other,,up,100,0,18V7akqED5kQAgRqg6cG_9yB07EgYH2qt,,,109,,12.34,,,,Left_Golongan_1,FALSE,
Kalenberas SC.,L_M2_S04,Str,L_Bt_14,L_Kb_01,B.Bt.9,B.Kb.1.1,sec01,L_M2_S04_sec01,Division,,up,180,0,1h4pq_QMADyaidjxVlWFsQP0zBlKhQaq8,,,364,,12.34,,,,Left_Golongan_1,FALSE,
Kalenberas SC.,L_M2_S04,Str,L_Kb_01,L_Kb_02,B.Kb.1.1,B.Kb.1.2,sec02,L_M2_S04_sec02,Other,,up,100,0,1U5QnKEuNSU-j_pOb-qQ_DDmLsDkZgPgK,,,330,,12.34,,,,Left_Golongan_1,FALSE,
Kalenberas SC.,L_M2_S04,Str,L_Kb_02,L_Kb_03,B.Kb.1.2,B.Kb.1,sec03,L_M2_S04_sec03,Other,,up,60,0,1WQJssIQ4i0puje_kkD6SfFF12bS_Wh-a,,,323,,12.34,,,,Left_Golongan_1,FALSE,
Kalenberas SC.,L_M2_S04,Str,L_Kb_03,L_Kb_04,B.Kb.1,B.Kb.2.1,sec04,L_M2_S04_sec04,Other,,up,100,0,1eEQuGTwV-OmLZLomNhklykronMtCyMZ2,,,316,,12.34,,,,Left_Golongan_1,FALSE,
Kalenberas SC.,L_M2_S04,Str,L_Kb_04,L_Kb_05,B.Kb.2.1,B.Kb.2.2,sec05,L_M2_S04_sec05,Other,,up,80,0,1WsYWlTMS0ys468PY0Q5XBQS83pGJCh27,,,307,,12.34,,,,Left_Golongan_1,FALSE,
Kalenberas SC.,L_M2_S04,Str,L_Kb_05,L_Kb_06,B.Kb.2.2,B.Kb.2,sec06,L_M2_S04_sec06,Other,,up,80,0,1wM5kqDNHhCu4QU8OERNOOsHu4aj85wvi,,,261,,12.34,,,,Left_Golongan_1,FALSE,
Drainage,,DC,L_Bt_13,L_Lk_01,B.Bt.8,B.Lk.1,,,,,up,1000,0,1pVARuUZuo8-cqs3pbamBjUpk_zePMI3i,,,"1,147",,12.34,,,,Left_Golongan_1,FALSE,
